month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep_m,act_dep_m,sch_arr_m,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
1,13,1,1,28,-7,390,2475,750,743,960,47,45,93,2,7,0,30.36,21,30
1,26,7,0,22,-3,87,228,825,822,912,46,29,51,15,20,24,29.75,32,37
1,30,4,0,48,-9,113,288,1218,1209,1331,31,22,69,5,7,0,30.34,30,38
11,2,6,3,20,-4,187,1069,826,822,1013,51,38,61,14,5,0,30.11,20,33
11,19,2,0,18,0,137,509,1040,1040,1177,46,36,68,4,12,0,29.85,30,27
12,25,3,4,1,-2,162,760,917,915,1079,41,34,76,11,5,0,30.15,31,31
1,19,7,2,28,-7,405,2475,1160,1153,1385,36,18,48,16,16,0,29.89,38,28
12,5,4,4,1,-5,158,760,360,355,518,37,34,89,15,14,0,29.64,10,21
1,19,7,6,47,-4,111,427,1260,1256,1371,33,17,52,16,17,0,29.94,25,35
12,31,2,6,37,-6,93,290,935,929,1028,43,39,86,17,15,0,29.62,31,34
1,17,5,3,58,-4,231,1598,1300,1296,151,24,-2,32,7,13,0,30.67,34,32
1,3,5,4,64,-4,186,1005,897,893,1083,46,46,10,12,7,0,29.79,25,45
1,30,4,0,22,-5,96,228,502,497,598,28,15,58,6,12,0,30.31,46,18
1,28,2,3,59,-4,330,1990,560,556,770,41,28,60,8,17,0,29.82,35,16
1,2,4,8,50,-5,95,264,615,610,710,41,31,67,13,7,0,29.98,24,23
12,27,5,0,9,14,81,184,1010,1024,1091,50,45,83,13,10,0,30.13,28,35
12,19,4,6,41,15,76,94,930,945,1006,26,10,51,16,18,24,30.36,33,34
1,27,1,3,58,-8,233,1598,820,812,1113,43,33,68,17,15,0,29.66,32,35
11,5,2,3,29,-7,372,2465,1055,1048,1247,56,46,69,17,12,0,30.13,30,27
11,14,4,4,52,0,377,2446,485,485,682,35,20,54,4,5,0,30.46,53,20
12,6,5,2,28,-8,395,2475,1215,1207,1430,49,34,56,15,17,25,30.01,28,41
12,24,2,3,7,-8,92,301,1290,1282,1382,37,24,59,4,8,0,30.2,25,23
1,1,3,4,30,-1,193,944,1185,1184,1378,37,22,54,15,17,25,29.88,46,27
1,11,6,4,26,-5,165,828,450,445,615,52,51,97,9,20,0,30.31,39,33
1,30,4,1,19,-7,296,1746,634,627,810,33,17,52,14,5,0,30.35,20,21
11,17,7,4,31,10,190,1089,921,931,1111,41,31,67,6,22,29,30.18,27,37
12,3,2,6,37,30,90,290,933,963,1023,35,24,64,8,17,28,29.56,33,32
11,9,6,0,63,25,79,209,660,685,739,37,22,54,13,5,0,30.32,28,20
11,15,5,3,58,39,228,1598,1400,1439,248,44,29,55,7,21,30,30.21,21,21
11,5,2,2,55,-5,387,2422,560,555,767,60,56,86,11,15,21,30.18,29,16
12,28,6,4,39,0,194,1028,945,945,1139,49,34,56,15,7,0,30.21,35,38
12,25,3,3,64,47,192,1005,541,588,733,39,28,65,5,8,0,30.25,33,14
12,13,5,3,50,-9,77,264,725,716,802,50,48,93,3,8,0,30.29,30,21
11,9,6,3,26,-10,157,828,1230,1220,1387,40,24,53,13,13,0,30.2,22,36
11,26,2,3,30,-3,175,944,803,800,978,55,47,74,12,9,0,30.01,29,39
1,30,4,3,64,24,187,1005,445,469,632,26,14,60,4,8,0,30.3,41,37
11,14,4,3,4,-1,70,187,677,676,747,41,25,53,14,7,0,30.41,29,20
1,31,5,3,50,-7,82,264,457,450,539,35,30,82,2,3,0,30.35,41,36
1,3,5,3,58,-2,239,1598,1240,1238,99,47,46,97,17,10,0,29.84,33,44
1,10,5,2,55,-1,392,2422,1125,1124,1337,46,43,89,0,0,0,30.46,40,37
1,17,5,4,4,21,82,187,1033,1054,1115,27,-3,27,8,14,0,30.66,29,28
12,16,1,4,56,-7,412,2586,685,678,917,36,18,48,0,0,0,30.27,30,23
12,23,1,8,24,0,149,665,1109,1109,1258,45,35,68,17,12,0,30.0,37,37
1,16,4,0,18,-5,138,509,419,414,557,46,45,96,15,13,0,29.84,18,21
12,7,6,3,55,19,379,2422,1069,1088,1268,35,16,46,8,15,0,30.45,37,35
11,3,7,4,17,104,247,1391,1100,1204,1287,49,28,44,16,14,0,30.2,25,40
11,21,4,0,9,-2,82,184,1259,1257,1341,50,39,66,13,13,0,30.07,30,41
1,30,4,0,4,2,96,187,955,957,1051,34,25,70,10,7,0,30.33,29,39
1,27,1,4,55,-6,391,2422,1115,1109,1326,44,27,51,16,12,0,29.71,39,36
11,2,6,4,64,-2,179,1005,950,948,1129,50,39,66,9,5,0,30.08,26,34
1,27,1,4,10,-6,143,636,545,539,688,40,32,73,17,16,0,29.72,45,18
12,16,1,8,13,9,122,483,580,589,702,35,17,48,7,10,0,30.3,35,19
12,30,1,4,1,2,154,760,815,817,969,42,42,10,2,22,31,29.72,26,43
12,25,3,3,4,-9,81,187,1032,1023,1113,37,35,93,10,5,0,30.16,26,28
12,27,5,3,36,-4,174,740,959,955,1073,49,46,90,9,6,0,30.13,35,37
11,20,3,7,3,0,170,765,929,929,1039,47,25,42,4,12,0,29.96,30,36
12,12,4,4,31,-5,201,1089,1165,1160,1366,30,18,61,3,3,0,30.69,42,29
11,25,1,3,55,-4,382,2422,1077,1073,1279,45,43,93,12,8,0,29.9,32,27
12,23,1,6,47,-4,116,427,570,566,686,42,35,76,13,10,0,30.16,41,17
1,28,2,3,56,-10,409,2586,740,730,969,44,27,51,8,18,0,29.79,17,30
1,9,4,3,30,-5,181,944,869,864,1050,33,6,32,0,0,0,30.72,29,41
1,19,7,0,4,62,82,187,655,717,737,45,27,49,16,20,0,29.74,24,15
1,13,1,0,50,12,94,264,480,492,574,40,34,79,6,9,0,30.4,46,20
11,10,7,0,4,-4,76,187,629,625,705,48,35,61,12,14,0,30.09,20,22
12,10,2,3,58,-4,228,1598,1310,1306,158,50,43,77,16,26,36,30.01,25,29
1,31,5,3,56,-6,400,2586,397,391,617,34,28,79,2,5,0,30.33,19,22
12,26,4,6,47,-9,116,427,570,561,686,39,37,93,6,8,0,30.32,41,21
12,10,2,4,23,28,268,1417,895,923,1103,54,54,10,13,14,0,29.84,28,35
12,25,3,8,50,-7,95,264,615,608,710,42,29,60,14,5,0,30.23,23,19
