,month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep,act_dep,sch_arr,temp,dew,hum,wind,w_spd,gust,pres,cond,bef_dep1,aft_dep1,bef_arr1,aft_arr1
11431,12,7,6,0,4,-6,77,187,735,729,812,39,16,39,16,14,0,30.36,18,5,7,2,7
24391,1,18,6,3,30,-10,178,944,359,349,537,21,2,44,4,8,0,30.63,0,2,4,5,8
21865,1,10,5,4,58,4,230,1598,480,484,770,42,38,85,13,12,0,30.59,16,20,17,5,7
3508,11,11,1,7,7,414,90,301,810,1224,900,56,54,93,9,13,0,29.89,16,12,5,4,12
7890,11,24,7,4,15,-6,89,213,1254,1248,1343,43,33,68,15,24,33,29.52,4,6,6,9,11
2235,11,8,5,3,29,-7,368,2465,365,358,553,34,20,56,7,13,0,30.09,3,5,7,1,9
13203,12,13,5,4,28,-1,385,2475,585,584,790,49,47,93,10,13,0,30.38,0,12,4,4,8
25905,1,23,4,4,1,0,158,760,515,515,673,36,26,67,17,9,0,30.42,16,14,10,1,6
11887,12,8,7,1,28,-6,391,2475,1230,1224,1,38,34,86,13,6,0,30.41,16,11,5,3,8
17455,12,27,5,0,43,-6,114,340,475,469,589,45,44,97,12,6,0,30.3,16,15,20,3,7
3803,11,12,2,4,55,-7,391,2422,1114,1107,1325,32,16,52,8,21,33,30.07,17,11,8,4,11
28190,1,30,4,4,20,-6,194,1069,485,479,679,28,15,58,6,12,0,30.31,18,18,20,6,4
1231,11,4,1,1,42,6,348,2153,1282,1288,70,53,44,71,13,10,0,30.3,16,14,9,1,9
14892,12,18,3,4,17,45,265,1391,1105,1150,1310,31,22,69,15,15,0,29.92,16,7,4,2,8
17812,12,28,6,4,16,17,292,1626,480,497,652,47,42,83,8,10,0,30.21,18,21,7,4,9
15337,12,20,5,4,10,-4,147,636,819,815,966,34,13,42,7,15,0,30.53,3,8,7,5,13
19048,1,1,3,1,28,-6,389,2475,660,654,869,42,21,43,15,21,30,29.74,17,4,4,3,5
2788,11,9,6,3,28,-4,374,2475,1040,1036,1234,40,25,55,12,10,0,30.21,16,11,2,5,8
14124,12,16,1,3,28,-5,379,2475,515,510,714,35,18,50,7,9,0,30.28,0,17,12,4,14
19730,1,3,5,3,26,-5,161,828,869,864,1030,46,46,10,13,5,0,29.79,0,3,8,8,12
6303,11,20,3,3,26,10,153,828,451,461,604,42,33,70,7,15,0,29.93,16,7,26,3,6
17866,12,28,6,4,32,-6,200,1029,675,669,815,50,37,61,8,13,0,30.19,16,9,14,0,3
17902,12,28,6,4,1,3,154,760,815,818,969,52,33,49,16,12,0,30.18,16,6,5,8,13
10640,12,4,3,4,64,-2,186,1005,1169,1167,1355,39,33,79,15,15,0,29.55,0,10,18,5,6
4702,11,15,5,2,28,-4,390,2475,690,686,900,48,27,44,13,12,0,30.19,18,13,12,3,7
20852,1,7,2,3,20,0,193,1069,425,425,618,38,27,65,15,8,0,30.1,16,15,12,8,10
22727,1,12,7,3,64,-1,184,1005,1310,1309,54,52,34,50,7,9,0,30.35,3,4,5,5,10
14639,12,17,2,1,28,0,391,2475,1230,1230,1,34,33,96,7,14,0,29.69,0,8,6,4,11
4972,11,16,6,4,40,-6,391,2454,485,479,696,36,5,27,5,24,35,30.45,4,14,27,1,6
23154,1,14,2,4,12,-3,130,541,488,485,618,40,39,97,0,0,0,30.36,0,24,14,2,7
454,11,2,6,8,13,-13,117,483,929,916,1046,50,39,66,9,5,0,30.08,18,13,12,7,14
26991,1,26,7,0,4,-1,96,187,955,954,1051,44,32,63,17,10,0,29.77,16,13,12,5,11
2121,11,7,4,2,28,-2,400,2475,1020,1018,1240,57,48,72,15,12,0,30.0,12,14,11,5,9
10060,12,2,1,3,52,-4,376,2446,510,506,706,37,37,10,4,15,0,29.51,12,28,11,7,11
4968,11,16,6,4,31,-8,189,1089,485,477,674,36,5,27,5,24,35,30.45,4,8,23,2,6
7368,11,23,6,0,15,-5,84,213,515,510,599,38,23,55,16,10,0,30.07,18,16,9,6,11
12991,12,12,4,0,18,-4,140,509,1032,1028,1172,31,17,57,11,3,0,30.71,16,10,6,6,11
17093,12,26,4,4,59,-2,340,1990,405,403,625,33,33,10,6,8,0,30.26,5,6,10,3,9
25061,1,20,1,2,56,0,419,2586,1000,1000,1239,30,0,28,8,15,0,30.3,3,10,11,5,7
9193,11,29,5,3,36,-2,163,740,467,465,570,31,22,69,4,20,0,30.23,16,5,17,6,4
6621,11,21,4,4,32,-4,194,1029,419,415,553,39,33,79,6,3,0,30.2,3,9,16,9,17
5706,11,18,1,4,28,-3,378,2475,705,702,903,42,42,10,4,12,0,29.76,12,13,9,5,7
20247,1,5,7,4,42,-1,354,2153,485,484,719,38,25,60,8,23,41,29.81,17,16,12,6,8
24947,1,20,1,3,55,112,395,2422,546,658,761,29,6,38,7,16,24,30.27,3,4,10,3,6
2998,11,10,7,4,1,9,151,760,700,709,851,48,32,54,13,13,0,30.06,16,13,4,5,9
18127,12,29,7,3,39,19,183,1028,454,473,637,40,34,79,5,7,0,30.26,16,14,23,5,7
28243,1,30,4,3,20,-11,193,1069,629,618,822,33,17,52,14,5,0,30.35,18,7,4,3,8
22620,1,12,7,4,30,-5,186,944,968,963,1154,61,39,44,16,20,26,30.18,3,16,11,3,9
2077,11,7,4,0,48,-5,99,288,905,900,1004,56,46,69,12,9,0,29.98,0,15,11,7,17
9086,11,28,4,4,32,0,192,1029,1005,1005,1137,45,31,58,7,17,29,29.99,3,7,5,4,8
185,11,1,5,3,30,4,176,944,978,982,1154,53,31,43,16,15,0,30.14,3,9,8,2,7
3103,11,10,7,0,18,-3,137,509,1040,1037,1177,49,35,59,17,10,0,30.02,16,15,8,3,10
21057,1,7,2,0,7,-6,100,301,1055,1049,1155,40,26,58,1,10,0,29.9,0,9,9,2,12
660,11,3,7,3,61,-3,184,1041,568,565,752,50,33,52,16,10,0,30.12,3,11,7,3,3
17007,12,25,3,3,42,-6,350,2153,1117,1111,1347,37,35,93,0,0,0,30.18,16,8,9,4,8
16153,12,22,7,8,15,-7,80,213,1319,1312,1399,42,31,65,15,12,0,30.22,3,11,1,3,8
23209,1,14,2,8,15,0,92,213,685,685,777,44,35,71,1,9,0,30.27,0,10,13,2,4
11014,12,6,5,3,64,-5,180,1005,449,444,629,36,26,67,17,8,0,30.15,16,13,12,8,15
2647,11,9,6,7,3,9,161,765,520,529,621,34,21,59,14,3,0,30.38,16,8,8,6,7
6772,11,21,4,6,43,-11,103,340,884,873,987,52,33,49,13,7,0,30.11,16,7,17,5,13
24352,1,17,5,4,27,-7,374,2248,1242,1235,1436,26,-3,28,7,16,0,30.67,18,16,7,6,9
3589,11,12,2,0,43,-5,106,340,454,449,560,54,48,80,15,20,26,29.72,12,12,11,6,9
19964,1,4,6,2,56,-5,407,2586,570,565,797,46,0,0,1,6,0,29.66,2,12,12,4,4
14261,12,16,1,4,56,4,417,2586,961,965,1198,36,23,59,6,3,0,30.23,16,9,12,4,11
26558,1,25,6,4,25,-5,309,1894,485,480,674,41,41,10,2,18,0,30.07,0,14,19,5,9
19832,1,3,5,3,59,-11,334,1990,1170,1159,1384,46,45,96,13,10,0,29.82,0,10,18,4,5
8118,11,25,1,4,64,-4,183,1005,950,946,1133,50,38,63,13,10,0,29.85,18,12,11,9,12
17297,12,26,4,3,47,-7,112,427,1027,1020,1139,45,40,82,1,14,0,30.36,0,9,13,3,6
26845,1,26,7,4,42,-2,353,2153,485,483,718,40,35,83,15,13,0,29.83,16,20,14,4,5
18124,12,29,7,3,47,-11,109,427,480,469,589,39,33,79,5,7,0,30.24,16,12,20,5,8
19716,1,3,5,1,31,-2,191,1089,780,778,971,46,46,10,12,8,0,29.78,0,6,2,3,7
14796,12,18,3,4,55,-5,385,2422,675,670,880,38,26,62,15,18,0,29.83,18,6,18,4,4
3398,11,11,1,3,56,0,404,2586,930,930,1154,55,48,77,10,5,0,29.99,16,8,15,7,10
6571,11,20,3,0,37,-8,97,290,1279,1271,1376,43,30,60,7,16,0,30.07,16,7,12,2,9
14123,12,16,1,4,64,15,189,1005,490,505,679,35,18,50,7,9,0,30.28,0,24,13,3,10
3637,11,12,2,4,2,-5,257,1521,555,550,752,42,39,89,16,15,0,29.8,12,5,14,1,3
18792,12,31,2,3,39,122,186,1028,685,807,871,42,40,92,13,10,0,29.62,16,4,8,4,10
28713,1,31,5,1,12,-8,133,541,1034,1026,1167,40,35,83,1,9,0,30.23,0,10,8,5,6
19457,1,2,4,6,14,-8,142,589,990,982,1132,44,41,89,9,13,0,29.9,16,7,9,3,5
3382,11,11,1,3,1,-5,156,760,885,880,1041,56,46,69,10,6,0,30.0,16,6,17,5,11
19427,1,2,4,0,4,0,91,187,905,905,996,45,39,80,9,14,0,29.91,0,18,11,10,12
9484,11,30,6,1,31,-2,198,1089,490,488,688,34,21,59,7,14,0,30.08,18,25,13,1,9
2208,11,7,4,1,2,-2,264,1521,1290,1288,54,47,46,97,7,14,0,29.99,12,12,9,5,8
10090,12,2,1,4,28,-5,380,2475,595,590,795,37,37,10,4,14,0,29.51,12,11,3,3,7
2094,11,7,4,4,30,24,180,944,929,953,1109,56,48,75,12,7,0,29.97,0,10,13,7,12
14578,12,17,2,0,7,5,103,301,1019,1024,1122,34,34,10,7,12,0,29.69,12,14,9,4,11
15204,12,20,5,1,4,-6,80,187,449,443,529,24,14,65,8,13,0,30.51,3,13,12,5,16
22787,1,13,1,3,4,33,72,187,419,452,491,38,32,79,6,7,0,30.41,16,15,19,6,10
3574,11,12,2,3,63,-4,73,209,420,416,493,54,48,80,15,20,26,29.72,12,9,16,5,14
4720,11,15,5,1,31,-2,192,1089,749,747,941,49,26,41,13,12,0,30.16,18,5,4,6,6
15436,12,20,5,4,17,13,265,1391,1105,1118,1310,30,15,54,4,13,0,30.59,3,10,9,7,10
12859,12,12,4,4,28,1,385,2475,585,586,790,31,11,43,7,14,0,30.73,16,11,5,3,8
18888,12,31,2,0,3,-3,172,765,1125,1122,1237,42,39,89,13,8,0,29.64,0,9,6,4,11
15250,12,20,5,3,64,63,188,1005,463,526,651,26,12,55,8,13,0,30.53,3,13,9,5,7
13356,12,13,5,4,17,6,265,1391,1105,1111,1310,51,51,10,2,8,0,30.12,20,11,10,3,9
24744,1,19,7,1,28,-3,398,2475,1020,1017,1238,38,19,47,8,20,30,29.86,0,8,7,1,3
13518,12,14,6,2,55,0,387,2422,560,560,767,54,54,10,11,5,0,29.44,0,7,13,0,1
2258,11,8,5,3,4,-5,73,187,427,422,500,36,22,57,8,15,23,30.14,3,17,9,6,15
10646,12,4,3,4,12,0,135,541,1175,1175,1310,39,33,79,15,15,0,29.55,0,16,13,4,9
12960,12,12,4,4,55,-2,398,2422,955,953,1173,31,15,52,10,6,0,30.7,18,8,11,8,10
17837,12,28,6,4,30,-1,184,944,568,567,752,48,39,71,8,13,0,30.21,16,13,15,1,4
18634,12,30,1,4,42,0,356,2153,1020,1020,1256,41,41,10,5,18,0,29.77,12,5,2,9,5
20392,1,5,7,3,58,47,237,1598,954,1001,1251,40,20,45,8,20,32,29.95,16,8,10,4,8
1789,11,6,3,3,47,-2,105,427,1026,1024,1131,50,31,48,17,10,0,30.36,3,12,4,2,8
14669,12,17,2,3,59,149,327,1990,1182,1331,1389,35,32,89,7,17,0,29.71,0,6,4,7,9
4685,11,15,5,6,11,-4,116,425,629,625,745,48,23,37,15,13,0,30.22,18,8,3,3,9
23117,1,14,2,3,29,-5,388,2465,445,440,653,39,39,10,6,3,0,30.35,0,9,20,6,12
3893,11,13,3,3,29,-2,368,2465,359,357,547,23,8,53,8,20,0,30.26,3,5,7,2,8
15501,12,20,5,3,28,-1,394,2475,1290,1289,64,28,13,53,4,10,0,30.63,3,13,14,6,7
106,11,1,5,1,31,3,183,1089,665,668,848,55,31,40,15,20,31,30.05,3,6,9,1,6
14116,12,16,1,1,31,-1,201,1089,490,489,691,35,18,50,7,9,0,30.28,0,24,11,5,8
9051,11,28,4,4,16,10,272,1626,845,855,997,48,31,52,7,26,36,29.89,17,2,6,3,7
4612,11,15,5,2,55,-9,387,2422,450,441,657,37,27,67,13,8,0,30.27,18,18,8,7,11
12061,12,9,1,0,47,61,115,427,785,846,900,51,51,10,9,7,0,29.94,12,3,5,5,13
19046,1,1,3,3,7,-6,86,301,650,644,736,39,21,49,15,23,0,29.76,17,5,5,1,7
11690,12,8,7,6,11,-6,117,425,629,623,746,37,25,62,10,9,0,30.53,16,4,4,6,8
10283,12,3,2,4,55,-3,397,2422,1100,1097,1317,34,22,61,8,20,26,29.58,3,4,13,7,9
4659,11,15,5,3,55,-6,382,2422,525,519,727,40,27,60,17,8,0,30.26,18,16,4,4,9
25675,1,22,3,3,7,-9,91,301,899,890,990,36,21,55,13,6,0,30.42,3,10,17,6,19
8672,11,27,3,0,54,-7,145,718,550,543,695,53,51,93,10,10,0,29.92,0,8,12,1,2
23814,1,16,4,4,56,-4,415,2586,495,491,730,50,46,86,15,21,31,29.85,19,25,12,3,7
21564,1,9,4,3,51,-7,203,1074,599,592,802,29,8,41,7,13,0,30.75,3,8,3,4,10
12091,12,9,1,4,28,2,391,2475,929,931,1140,51,51,10,3,6,0,29.9,20,10,13,8,8
8438,11,26,2,3,20,18,191,1069,899,917,1090,53,47,80,9,10,0,30.01,18,14,14,3,11
11409,12,7,6,0,4,-4,80,187,635,631,715,37,18,46,7,21,26,30.37,17,2,5,4,6
19811,1,3,5,4,2,3,268,1521,1090,1093,1298,46,45,96,13,10,0,29.82,0,3,13,8,11
10466,12,4,3,3,61,-4,184,1041,560,556,744,37,31,79,15,12,0,29.59,0,10,12,1,2
5522,11,17,7,4,32,196,195,1029,1020,1216,1155,40,31,70,6,22,28,30.12,1,9,6,5,11
15547,12,21,6,0,7,-4,98,301,420,416,518,24,17,75,6,5,0,30.64,16,6,10,5,13
10599,12,4,3,2,28,1,395,2475,1020,1021,1235,39,32,76,17,12,0,29.53,16,8,7,2,10
3641,11,12,2,2,57,-8,402,2569,575,567,797,42,39,89,16,15,0,29.8,12,7,11,2,4
4086,11,13,3,4,64,-6,183,1005,950,944,1133,33,4,29,4,13,0,30.36,18,10,12,7,8
16299,12,23,1,3,30,42,184,944,663,705,847,47,35,63,13,12,0,30.09,18,14,4,2,5
12703,12,11,3,4,32,14,207,1029,1168,1182,1315,36,20,52,15,17,0,30.38,3,18,6,4,10
11365,12,7,6,3,47,-5,104,427,488,483,592,34,20,56,8,16,23,30.35,16,18,17,5,8
6399,11,20,3,3,52,-4,367,2446,720,716,907,45,34,65,8,22,26,29.94,17,10,3,3,9
10601,12,4,3,0,18,-1,140,509,1032,1031,1172,39,32,76,17,12,0,29.53,16,9,4,4,10
24175,1,17,5,3,4,-8,67,187,720,712,787,29,-2,26,7,23,32,30.61,4,12,4,3,6
7424,11,23,6,4,1,15,149,760,700,715,849,44,24,45,12,14,0,29.97,16,6,6,6,7
10233,12,3,2,0,11,14,131,425,895,909,1026,37,23,57,8,24,32,29.54,19,11,10,10,13
12939,12,12,4,0,11,-6,131,425,895,889,1026,35,8,33,0,0,0,30.7,16,12,12,10,13
26243,1,24,5,4,47,9,125,427,516,525,641,38,34,86,2,5,0,30.38,16,12,12,2,7
20502,1,5,7,3,6,-8,75,266,1378,1370,13,36,18,48,16,10,0,29.99,16,4,3,3,11
14015,12,15,7,8,13,45,131,483,1205,1250,1336,41,24,51,15,17,26,30.07,3,6,6,6,14
3980,11,13,3,0,37,0,88,290,580,580,668,29,9,43,7,22,31,30.33,4,9,10,3,8
10564,12,4,3,0,36,0,189,740,929,929,1058,39,32,76,15,12,0,29.52,0,13,15,6,12
16239,12,23,1,4,62,15,232,1623,515,530,807,40,34,79,13,6,0,30.16,3,8,11,4,8
4933,11,16,6,3,30,-8,168,944,345,337,513,38,22,53,6,17,26,30.32,3,1,3,3,8
1829,11,6,3,3,28,-7,387,2475,1180,1173,1387,51,29,43,17,12,0,30.37,3,11,12,3,7
14945,12,19,4,3,64,-9,187,1005,455,446,642,18,4,54,16,22,30,30.3,4,12,15,7,13
20552,1,6,1,4,42,0,353,2153,485,485,718,35,30,82,17,16,0,29.97,0,10,11,3,8
18099,12,29,7,3,51,-4,200,1074,408,404,608,33,31,92,0,0,0,30.23,18,6,14,6,11
27911,1,29,3,0,63,-9,80,209,662,653,742,37,19,48,4,16,0,30.09,3,7,7,3,7
3311,11,11,1,3,39,-3,180,1028,605,602,785,57,46,67,14,5,0,30.08,16,7,3,5,8
1320,11,5,2,3,52,-8,376,2446,510,502,706,59,53,81,11,7,0,30.2,0,24,12,7,10
26635,1,25,6,0,36,-5,166,740,764,759,870,47,47,10,1,31,44,29.83,13,6,7,3,10
13833,12,15,7,1,28,-2,378,2475,660,658,858,48,32,54,15,28,33,29.78,17,5,16,3,4
18818,12,31,2,8,12,-1,144,541,895,894,1039,43,39,86,17,15,0,29.62,18,13,14,8,13
27075,1,26,7,1,52,-2,394,2446,1200,1198,1414,42,29,60,15,15,24,29.81,16,10,9,10,14
1915,11,7,4,4,28,-1,375,2475,420,419,615,54,33,45,12,18,26,30.22,16,16,17,7,15
19117,1,1,3,4,31,0,200,1089,930,930,1130,39,21,49,16,18,0,29.79,0,9,17,6,9
8813,11,27,3,4,28,-2,382,2475,1015,1013,1217,53,50,89,9,18,0,29.62,0,4,12,4,7
15150,12,19,4,0,36,-1,183,740,1215,1214,1338,24,8,51,8,18,0,30.42,18,11,0,6,12
20487,1,5,7,3,64,-10,184,1005,1295,1285,39,35,18,50,16,7,0,29.99,16,10,10,3,6
1853,11,6,3,1,28,29,391,2475,1230,1259,1,49,35,59,17,10,0,30.37,3,9,12,7,10
2326,11,8,5,2,57,-3,402,2569,575,572,797,37,23,57,8,21,26,30.13,17,13,10,3,8
5268,11,17,7,1,36,-1,174,740,471,470,585,34,24,67,5,15,0,30.35,16,9,27,5,3
19186,1,1,3,4,18,-3,140,509,1170,1167,1310,37,22,54,15,17,25,29.88,18,12,17,3,1
20959,1,7,2,3,6,-4,71,266,759,755,830,43,23,45,1,5,0,30.0,0,3,7,3,9
22884,1,13,1,4,58,-1,229,1598,719,718,1008,47,44,90,2,7,0,30.36,9,8,4,3,8
28132,1,29,3,3,58,1,224,1598,1417,1418,261,32,16,52,4,13,0,30.19,3,3,1,4,10
21157,1,8,3,3,10,-2,132,636,359,357,491,33,31,92,17,17,0,29.91,16,5,6,4,5
8411,11,26,2,4,10,7,134,636,820,827,954,55,47,74,12,9,0,30.01,3,9,6,8,15
1499,11,5,2,4,32,-6,196,1029,1169,1163,1305,55,45,69,17,10,0,30.14,16,4,15,3,9
13996,12,15,7,4,52,5,398,2446,1183,1188,1401,41,24,51,15,17,26,30.07,3,17,9,7,15
8862,11,27,3,4,4,11,89,187,1170,1181,1259,54,51,90,17,13,0,29.57,0,12,10,7,12
4781,11,15,5,4,31,26,190,1089,921,947,1111,48,28,46,17,10,0,30.14,16,10,13,4,11
8965,11,28,4,4,20,-8,178,1069,485,477,663,49,33,54,16,21,33,29.76,17,6,21,4,4
13004,12,12,4,3,55,11,379,2422,1069,1080,1268,30,18,61,3,3,0,30.69,16,3,11,6,8
20161,1,4,6,3,7,135,94,301,1115,1250,1209,50,47,89,7,13,0,29.52,12,11,10,2,6
5314,11,17,7,2,56,-6,407,2586,570,564,797,39,28,65,6,23,28,30.34,17,9,8,3,3
12916,12,12,4,0,17,0,265,1391,810,810,1015,35,8,33,0,0,0,30.7,16,6,11,6,12
268,11,1,5,4,27,6,351,2248,1255,1261,1426,47,30,52,7,15,0,30.23,3,11,14,5,8
4370,11,14,4,0,36,-2,167,740,780,778,887,44,29,55,12,7,0,30.36,16,0,4,4,8
12892,12,12,4,4,12,-3,128,541,695,692,823,33,12,42,4,9,0,30.71,16,18,6,4,6
14117,12,16,1,4,28,4,390,2475,485,489,695,35,18,50,7,9,0,30.28,0,24,12,5,8
2818,11,9,6,3,63,9,76,209,1139,1148,1215,40,26,58,13,14,0,30.22,16,7,13,4,6
7769,11,24,7,3,10,-10,131,636,856,846,987,44,40,85,16,21,28,29.29,1,5,4,9,12
4238,11,14,4,1,15,-10,88,213,391,381,479,25,15,66,6,6,0,30.43,16,8,4,4,6
24863,1,20,1,3,61,-7,190,1041,449,442,639,21,8,57,7,21,0,30.22,4,9,18,6,10
22230,1,11,6,6,47,-10,113,427,570,560,683,52,51,97,9,21,0,30.3,17,15,11,2,1
15910,12,22,7,1,28,-5,398,2475,540,535,758,36,27,70,17,9,0,30.37,3,11,9,6,6
24076,1,17,5,4,26,-3,169,828,450,447,619,23,4,44,7,23,33,30.55,4,9,17,5,13
6898,11,21,4,3,0,-7,307,1826,1200,1193,1387,49,38,66,12,10,0,30.08,0,20,10,10,16
13274,12,13,5,3,64,-4,183,1005,889,885,1072,48,48,10,2,7,0,30.23,12,8,14,6,14
19404,1,2,4,3,58,4,232,1598,839,843,1131,47,37,68,9,15,0,29.92,0,4,2,10,18
17739,12,27,5,3,20,39,189,1069,1275,1314,24,49,45,86,15,7,0,30.14,0,9,2,4,11
25253,1,21,2,3,55,-3,395,2422,546,543,761,26,11,53,7,8,0,30.47,3,6,9,3,4
21269,1,8,3,2,28,-1,401,2475,690,689,911,40,26,58,15,28,36,29.89,17,10,13,3,6
24548,1,19,7,1,31,-1,201,1089,367,366,568,38,37,97,15,13,0,29.69,16,2,5,2,6
27261,1,27,1,2,56,22,410,2586,690,712,920,44,32,63,17,16,0,29.67,16,14,5,4,6
5886,11,18,1,0,37,-9,97,290,1279,1270,1376,41,41,10,4,10,0,29.71,12,7,12,5,9
15219,12,20,5,3,26,-3,162,828,480,477,642,26,12,55,8,13,0,30.53,3,12,23,6,6
12245,12,10,2,3,28,-6,376,2475,480,474,676,52,52,10,12,5,0,29.81,0,15,27,3,7
6436,11,20,3,3,54,-5,141,718,888,883,1029,48,29,48,7,17,0,29.95,16,8,17,9,10
10866,12,5,4,3,58,-8,228,1598,855,847,1143,43,22,43,16,21,28,29.83,17,6,5,6,12
14869,12,18,3,4,28,0,391,2475,929,929,1140,35,23,61,15,16,28,29.84,18,7,6,7,9
438,11,2,6,3,64,9,179,1005,856,865,1035,51,39,63,11,6,0,30.09,18,4,12,6,11
20296,1,5,7,1,19,-12,297,1746,680,668,857,42,25,51,16,22,36,29.83,17,10,16,1,3
23038,1,13,1,4,30,-2,192,944,1185,1183,1377,45,45,10,7,5,0,30.37,0,18,8,6,8
9220,11,29,5,3,55,-4,382,2422,525,521,727,32,21,64,4,20,31,30.22,16,10,5,4,5
17342,12,26,4,8,13,-6,135,483,1170,1164,1305,45,40,82,3,10,0,30.37,0,14,18,6,4
15695,12,21,6,8,24,-2,153,665,899,897,1052,35,27,72,12,3,0,30.5,0,16,11,9,15
18285,12,29,7,8,13,17,123,483,931,948,1054,42,36,79,1,6,0,30.15,0,14,9,4,13
12104,12,9,1,3,20,29,193,1069,941,970,1134,51,51,10,9,10,0,29.88,20,10,7,8,12
19557,1,2,4,3,64,-1,184,1005,1295,1294,39,42,37,82,12,8,0,29.9,16,11,5,2,6
23951,1,16,4,4,55,-2,389,2422,957,955,1166,40,25,55,8,29,45,30.02,17,14,13,5,11
21892,1,10,5,3,56,-8,414,2586,552,544,786,42,38,85,13,10,0,30.58,0,9,11,2,3
21765,1,9,4,4,59,-2,337,1990,1225,1223,2,31,18,59,9,6,0,30.73,0,9,9,5,9
4050,11,13,3,7,7,34,90,301,810,844,900,35,5,28,16,15,20,30.34,3,7,7,7,13
11388,12,7,6,0,54,-11,151,718,553,542,704,35,19,52,7,18,0,30.37,16,9,10,3,1
687,11,3,7,3,39,-12,181,1028,689,677,870,52,32,47,15,12,18,30.11,18,10,12,1,6
28,11,1,5,2,40,-3,375,2454,445,442,640,47,33,59,15,24,29,30.0,4,13,5,2,7
11359,12,7,6,3,4,13,70,187,465,478,535,34,20,56,8,16,23,30.35,16,12,21,5,6
7773,11,24,7,6,43,-3,103,340,884,881,987,44,40,85,16,21,28,29.29,1,3,14,8,14
13878,12,15,7,1,42,-2,345,2153,810,808,1035,49,27,43,15,23,36,29.83,17,8,9,4,7
26629,1,25,6,3,56,-6,409,2586,740,734,969,47,47,10,1,31,44,29.83,13,8,6,1,8
16455,12,23,1,4,31,41,201,1089,1169,1210,1370,44,33,65,17,14,0,29.98,16,8,10,8,17
3866,11,12,2,0,6,-11,83,266,1320,1309,1403,29,9,43,7,16,28,30.12,18,7,6,4,11
18094,12,29,7,1,17,-2,253,1391,390,388,583,33,31,92,0,0,0,30.23,18,6,7,1,9
5777,11,18,1,1,27,-7,363,2248,959,952,1142,41,41,10,7,13,0,29.72,12,12,12,9,13
10240,12,3,2,6,41,-6,79,94,940,934,1019,37,23,57,8,24,32,29.54,19,7,9,4,7
24782,1,19,7,2,28,-7,405,2475,1160,1153,1385,36,18,48,16,16,0,29.89,3,9,16,4,6
9951,12,1,7,1,12,6,134,541,1029,1035,1163,39,39,10,2,18,30,29.61,12,7,7,2,10
4271,11,14,4,3,30,-6,176,944,480,474,656,35,20,54,4,5,0,30.46,16,9,28,3,4
28401,1,30,4,1,12,2,131,541,1148,1150,1279,33,26,75,2,5,0,30.34,16,8,18,3,9
68,11,1,5,0,22,-5,84,228,540,535,624,52,32,47,16,25,32,30.02,4,10,8,0,7
11743,12,8,7,1,42,-2,345,2153,810,808,1035,41,28,60,12,13,0,30.47,16,7,9,4,7
813,11,3,7,4,42,-5,334,2153,1079,1074,1293,50,28,43,15,9,0,30.18,18,11,8,4,6
5966,11,19,2,4,20,-9,178,1069,480,471,658,44,43,96,15,9,0,29.79,0,10,29,5,6
18143,12,29,7,0,22,-5,92,228,495,490,587,40,34,79,5,7,0,30.26,16,21,12,4,9
13914,12,15,7,3,58,-8,235,1598,954,946,1249,44,24,45,16,24,38,29.93,17,3,10,5,10
12428,12,10,2,0,18,-2,140,509,1032,1030,1172,54,54,10,15,10,0,29.9,0,8,7,4,10
16127,12,22,7,1,28,5,389,2475,1230,1235,1439,40,32,73,17,14,0,30.23,3,3,7,5,10
20965,1,7,2,8,4,-4,81,187,780,776,861,44,24,45,10,8,0,29.98,16,9,6,3,7
6272,11,20,3,1,31,-3,194,1089,375,372,569,41,34,76,7,14,0,29.89,0,5,5,3,6
11859,12,8,7,4,64,-7,186,1005,1169,1162,1355,38,34,86,13,6,0,30.41,16,9,19,2,9
1204,11,4,1,0,48,-7,117,288,1210,1203,1327,54,42,64,9,17,0,30.3,18,12,7,5,18
18739,12,31,2,3,28,-9,390,2475,569,560,779,40,39,97,7,7,0,29.69,16,8,14,2,3
9461,11,30,6,3,36,-3,163,740,467,464,570,32,21,64,4,10,0,30.09,16,7,25,3,9
27517,1,28,2,4,31,-5,195,1089,475,470,670,39,27,62,8,21,25,29.8,17,15,24,4,8
23722,1,15,3,1,56,4,406,2586,1273,1277,59,42,41,96,9,7,0,30.12,3,8,8,2,11
1196,11,4,1,4,52,10,383,2446,1175,1185,1378,54,42,64,9,17,0,30.3,18,12,10,6,18
14745,12,18,3,3,47,5,104,427,488,493,592,35,24,64,15,12,0,29.87,3,21,9,8,6
2076,11,7,4,4,27,-1,353,2248,899,898,1072,56,46,69,12,9,0,29.98,0,15,6,8,13
9938,12,1,7,0,50,17,91,264,965,982,1056,37,37,10,2,17,25,29.65,20,2,4,5,8
12343,12,10,2,3,4,-8,69,187,783,775,852,54,54,10,13,10,0,29.81,12,5,4,4,11
2485,11,8,5,4,40,12,394,2454,1076,1088,1290,34,14,44,8,22,30,30.27,4,10,10,6,6
6221,11,19,2,8,13,-12,128,483,1220,1208,1348,45,35,68,4,6,0,29.87,16,12,7,4,20
4789,11,15,5,3,30,1,183,944,957,958,1140,47,28,48,17,10,0,30.14,16,12,13,5,12
12215,12,10,2,3,30,-5,174,944,415,410,589,51,51,10,12,6,0,29.78,0,5,15,5,13
