,month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep,act_dep,sch_arr,temp,dew,hum,wind,w_spd,gust,pres,cond,bef_dep1,aft_dep1,bef_arr1,aft_arr1
1183,11,4,1,3,34,0,392,2576,1139,1139,1351,53,41,64,9,15,0,30.31,18,10,9,5,8
15277,12,20,5,3,30,126,187,944,480,606,667,29,11,47,7,13,0,30.55,3,11,4,5,8
11300,12,6,5,0,9,-2,76,184,1325,1323,1401,42,24,49,8,16,28,30.09,3,10,4,6,7
13219,12,13,5,1,31,-5,193,1089,665,660,858,50,48,93,3,9,0,30.32,0,9,18,2,6
3059,11,10,7,0,15,-4,101,213,929,925,1030,50,36,59,13,7,0,30.01,16,14,13,5,9
17828,12,28,6,4,52,44,396,2446,500,544,716,48,39,71,8,13,0,30.21,16,9,14,6,3
12284,12,10,2,0,50,73,101,264,479,552,580,55,55,10,13,7,0,29.83,0,9,14,4,2
10924,12,5,4,4,52,-7,386,2446,1019,1012,1225,40,23,51,16,17,0,29.95,16,6,7,5,7
8082,11,25,1,4,28,-4,374,2475,830,826,1024,52,37,57,13,12,0,29.82,16,11,3,7,14
11873,12,8,7,4,12,7,135,541,1175,1182,1310,38,34,86,13,6,0,30.41,16,18,8,8,10
7417,11,23,6,3,47,46,102,427,638,684,740,44,24,45,14,6,0,29.99,16,10,12,0,6
19137,1,1,3,6,14,-4,142,589,990,986,1132,38,22,53,15,18,26,29.82,16,9,8,4,5
19876,1,3,5,1,27,16,374,2248,1256,1272,10,47,47,10,15,9,0,29.84,0,7,12,6,9
8638,11,27,3,4,64,-6,180,1005,485,479,665,47,46,97,2,5,0,30.0,0,15,28,2,5
22122,1,10,5,1,56,-2,406,2586,1273,1271,59,46,44,93,9,3,0,30.45,16,6,9,5,12
27340,1,27,1,0,4,-2,96,187,955,953,1051,44,29,55,15,14,0,29.68,16,15,12,4,9
9405,11,29,5,3,44,-3,239,1617,1260,1257,119,36,23,59,4,20,0,30.13,0,4,4,2,8
24614,1,19,7,3,56,-2,414,2586,540,538,774,45,32,60,16,18,28,29.73,18,11,14,1,3
14890,12,18,3,3,63,5,76,209,1139,1144,1215,31,22,69,15,15,0,29.92,16,7,4,3,8
15656,12,21,6,3,4,-1,67,187,720,719,787,35,22,59,14,3,0,30.55,0,10,2,1,5
15384,12,20,5,0,36,31,189,740,929,960,1058,32,16,52,7,9,0,30.58,3,10,12,6,11
11105,12,6,5,3,28,-6,377,2475,689,683,886,45,30,57,12,14,0,30.04,16,13,13,2,7
8699,11,27,3,3,26,-8,154,828,659,651,813,56,56,10,11,10,0,29.89,0,4,12,2,5
2533,11,8,5,8,13,-9,128,483,1220,1211,1348,33,15,48,7,18,28,30.29,3,12,6,6,18
19228,1,1,3,3,64,-2,184,1005,1295,1293,39,36,21,55,16,17,0,29.89,3,9,3,3,5
23837,1,16,4,4,2,-4,264,1521,558,554,762,47,40,77,8,23,36,29.88,17,14,9,0,2
12974,12,12,4,3,52,-6,365,2446,990,984,1175,31,15,52,10,6,0,30.7,18,13,6,8,9
4092,11,13,3,6,37,22,90,290,930,952,1020,31,4,32,4,9,0,30.37,3,13,14,6,12
27481,1,28,2,3,7,-9,84,301,390,381,474,38,27,65,16,18,0,29.77,0,5,6,3,4
27593,1,28,2,2,56,-5,410,2586,690,685,920,44,28,53,8,20,0,29.81,16,11,13,1,4
6875,11,21,4,4,1,15,157,760,1131,1146,1288,48,40,74,12,10,0,30.09,16,8,13,4,11
19470,1,2,4,3,60,-5,394,2521,1020,1015,1234,44,42,93,9,13,0,29.9,16,11,10,1,7
26396,1,24,5,4,32,0,196,1029,1000,1000,1136,44,27,51,1,13,0,30.3,16,12,11,5,8
5661,11,18,1,2,57,-7,402,2569,575,568,797,42,39,89,4,12,21,29.83,0,8,12,4,5
25907,1,23,4,3,8,-6,400,2465,532,526,752,36,26,67,17,9,0,30.42,16,12,11,5,7
603,11,3,7,3,28,-3,379,2475,425,422,624,46,34,63,15,13,0,30.11,3,13,10,11,11
18896,12,31,2,8,50,-6,109,264,1165,1159,1274,42,39,89,13,8,0,29.64,0,7,19,3,3
6110,11,19,2,3,20,16,191,1069,900,916,1091,48,37,66,8,9,0,29.81,16,12,14,6,13
7781,11,24,7,3,28,25,375,2475,869,894,1064,42,38,85,8,25,33,29.35,13,9,11,7,18
14165,12,16,1,0,63,0,92,209,660,660,752,36,18,48,0,0,0,30.27,0,6,18,2,6
21701,1,9,4,1,12,-5,133,541,1034,1029,1167,31,13,47,10,3,0,30.74,0,8,8,3,9
1339,11,5,2,2,28,107,390,2475,450,557,660,60,56,86,11,15,21,30.18,0,8,8,2,4
12247,12,10,2,6,37,-10,87,290,485,475,572,52,52,10,12,5,0,29.81,0,18,26,3,7
27899,1,29,3,4,28,-3,385,2475,590,587,795,35,20,54,4,12,0,30.09,16,7,6,6,10
23518,1,15,3,0,24,-1,139,665,605,604,744,49,33,54,8,13,0,30.19,3,11,3,6,11
1254,11,5,2,3,28,-10,371,2475,340,330,531,54,52,93,9,9,0,30.24,18,1,4,6,10
28140,1,30,4,3,30,-6,178,944,359,353,537,26,16,66,4,10,0,30.25,3,4,5,3,4
11618,12,8,7,2,56,-7,407,2586,420,413,647,26,21,81,2,6,0,30.55,18,7,13,5,9
14038,12,15,7,0,50,13,93,264,1335,1348,1428,39,24,55,16,12,0,30.12,16,7,5,5,10
804,11,3,7,3,8,56,377,2465,990,1046,1187,51,28,41,15,10,0,30.16,16,10,7,5,9
24092,1,17,5,4,31,-1,195,1089,475,474,670,23,3,42,7,31,38,30.59,4,17,20,4,8
10947,12,5,4,4,64,-3,186,1005,1169,1166,1355,38,26,62,16,20,29,30.0,18,5,6,3,7
28589,1,31,5,0,63,-5,80,209,662,657,742,42,34,73,3,8,0,30.32,16,6,9,4,6
7956,11,25,1,3,64,-8,180,1005,447,439,627,42,35,76,15,9,0,29.8,16,15,8,8,14
21101,1,7,2,0,26,-5,184,828,1199,1194,1383,37,35,93,5,6,0,29.89,12,15,8,7,17
18428,12,30,1,3,20,-7,186,1069,373,366,559,41,41,10,2,16,23,29.84,12,5,4,4,7
6425,11,20,3,4,1,-3,150,760,838,835,988,48,29,48,7,17,0,29.95,16,12,5,8,12
23379,1,14,2,4,52,149,385,2446,1095,1244,1300,43,43,10,1,5,0,30.15,0,12,6,3,10
11857,12,8,7,3,63,18,76,209,1140,1158,1216,38,34,86,13,8,0,30.42,16,7,20,1,7
5718,11,18,1,0,15,0,83,213,770,770,853,42,42,10,8,12,0,29.75,12,5,5,4,7
15975,12,22,7,1,12,11,127,541,720,731,847,43,31,62,13,15,0,30.29,18,4,5,1,7
16079,12,22,7,3,55,-4,393,2422,1065,1061,1278,40,31,70,17,9,0,30.22,3,6,3,4,13
9779,12,1,7,1,12,-5,134,541,390,385,524,29,16,58,5,3,0,30.02,16,3,6,7,8
6147,11,19,2,2,56,0,410,2586,995,995,1225,46,37,71,4,10,0,29.81,16,11,15,3,10
19207,1,1,3,4,59,2,345,1990,1203,1205,1428,37,22,54,15,17,25,29.88,18,13,6,5,13
2762,11,9,6,6,9,-1,78,184,959,958,1037,39,27,62,9,14,0,30.21,16,10,13,8,11
409,11,2,6,7,7,2,91,301,700,702,791,51,35,54,0,0,0,30.17,18,10,11,2,6
18876,12,31,2,6,48,141,97,288,930,1071,1027,42,39,89,13,8,0,29.64,0,6,4,5,8
8546,11,26,2,4,27,-3,364,2248,1229,1226,1413,48,47,96,13,7,0,30.05,16,6,6,6,13
24781,1,19,7,0,3,17,166,765,1135,1152,1241,36,18,48,16,16,0,29.89,3,9,17,4,6
562,11,2,6,0,50,30,92,264,1282,1312,1374,50,42,74,15,12,0,30.05,18,9,1,3,7
20811,1,6,1,3,4,1,70,187,1360,1361,1430,41,27,57,15,13,0,30.03,3,6,5,3,8
5512,11,17,7,4,16,0,289,1626,1185,1185,1354,40,31,70,6,22,28,30.12,1,18,11,6,19
21092,1,7,2,3,27,-2,367,2248,1170,1168,1357,37,35,93,5,6,0,29.89,12,10,10,5,8
6281,11,20,3,7,36,-11,174,740,420,409,534,41,34,76,7,14,0,29.89,0,8,17,6,13
18579,12,30,1,3,28,131,385,2475,749,880,954,42,42,10,2,23,35,29.7,21,5,18,5,15
13268,12,13,5,3,39,-1,180,1028,858,857,1038,48,48,10,2,7,0,30.23,12,9,7,4,10
27495,1,28,2,4,56,-2,406,2586,420,418,646,39,27,62,8,21,25,29.8,17,9,14,9,16
2936,11,10,7,1,27,-6,358,2248,509,503,687,46,34,63,13,17,0,30.12,16,26,9,0,8
20541,1,6,1,1,28,-1,393,2475,450,449,663,34,31,89,17,15,0,29.96,14,8,8,9,13
1438,11,5,2,4,56,-6,408,2586,955,949,1183,59,46,62,17,13,0,30.11,16,10,11,5,11
12494,12,10,2,1,28,-4,391,2475,1230,1226,1,53,44,71,15,16,23,29.96,0,5,6,3,10
23926,1,16,4,4,27,-2,371,2248,899,897,1090,42,30,62,8,23,35,29.95,19,15,12,5,18
25940,1,23,4,0,4,-4,72,187,636,632,708,39,24,55,17,10,0,30.43,16,5,5,3,5
18953,1,1,3,3,58,-1,223,1598,301,300,584,39,26,60,15,21,28,29.69,17,2,3,0,5
25524,1,22,3,3,64,-9,187,1005,445,436,632,26,18,71,4,5,0,30.48,3,14,15,8,13
3435,11,11,1,1,12,-1,134,541,1021,1020,1155,53,51,93,11,6,0,29.95,16,11,9,7,6
16542,12,24,2,1,28,-3,393,2475,450,447,663,41,31,67,6,10,0,30.09,16,13,12,2,12
12422,12,10,2,0,63,-5,97,209,1018,1013,1115,54,54,10,15,10,0,29.9,0,10,14,3,6
25197,1,21,2,4,28,-2,385,2475,420,418,625,22,12,66,6,5,0,30.46,3,10,14,6,15
4349,11,14,4,4,30,-2,170,944,685,683,855,41,25,53,14,7,0,30.41,16,12,14,1,6
12056,12,9,1,1,42,0,345,2153,810,810,1035,50,50,10,12,8,0,29.96,12,4,9,5,12
22263,1,11,6,3,28,-1,387,2475,689,688,896,54,51,90,9,21,0,30.23,17,10,10,3,5
4255,11,14,4,3,50,-1,82,264,422,421,504,31,17,57,7,6,0,30.46,16,16,8,7,15
27595,1,28,2,4,31,0,192,1089,689,689,881,44,28,53,8,20,0,29.81,16,13,12,1,3
26564,1,25,6,4,62,0,233,1623,492,492,785,41,41,10,2,18,0,30.07,0,19,8,3,9
10574,12,4,3,4,33,-4,216,1182,965,961,1121,39,32,76,15,12,0,29.53,0,8,10,5,11
6593,11,20,3,3,6,-6,74,266,1375,1369,9,42,30,62,7,14,0,30.08,18,5,5,4,6
26059,1,23,4,3,8,65,401,2465,945,1010,1166,39,26,60,13,6,0,30.34,0,9,11,6,7
23111,1,14,2,0,18,-5,138,509,419,414,557,39,39,10,6,3,0,30.35,0,11,9,10,15
63,11,1,5,3,4,88,73,187,427,515,500,50,33,52,15,21,30,30.0,4,13,7,8,9
4243,11,14,4,1,56,-7,401,2586,420,413,641,31,17,57,7,6,0,30.46,16,4,16,9,13
9516,11,30,6,0,36,-2,167,740,580,578,687,38,18,44,4,14,0,30.09,18,13,10,4,8
28579,1,31,5,3,51,-1,203,1074,599,598,802,43,34,71,3,8,0,30.34,16,8,4,5,11
