month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
12,2,1,8,18,240,10,170,967,1025,1265,1275,1135,1367,56,51,84,11,3,0,30.12,32,28
12,11,3,7,9,6,28,89,326,431,437,465,520,518,56,50,80,10,3,0,30.2,50,28
1,31,5,3,36,11,16,93,337,545,556,572,638,641,53,51,93,5,5,0,30.33,44,17
12,20,5,6,53,105,29,99,363,671,776,805,770,867,56,48,75,5,5,0,30.14,27,30
12,21,6,6,62,9,20,90,421,580,589,609,670,671,60,43,53,7,3,0,29.96,34,37
1,15,3,7,8,-6,17,413,2704,495,489,506,728,714,49,41,74,3,6,0,30.04,33,43
12,5,4,7,48,-3,16,287,1911,927,924,940,1094,1083,55,52,89,4,8,0,30.02,23,37
12,1,7,6,70,111,30,72,190,1086,1197,1227,1158,1261,58,51,78,10,21,0,29.91,22,45
12,13,5,6,69,19,20,77,262,443,462,482,520,531,57,53,87,0,0,0,30.21,47,29
1,8,3,0,58,-8,26,386,2521,955,947,973,1161,1145,54,43,66,15,10,0,30.08,20,32
12,7,6,7,3,-4,10,327,2139,435,431,441,582,570,65,54,68,9,23,30,29.94,36,45
1,12,7,7,18,86,34,173,967,1035,1121,1155,1148,1226,50,43,77,17,7,0,30.15,31,44
12,6,5,8,67,37,14,95,447,1225,1262,1276,1320,1349,55,53,93,3,14,0,29.95,30,25
12,29,7,6,79,-2,28,156,751,360,358,386,456,446,53,49,86,15,10,0,30.13,29,25
1,17,5,6,73,1,38,65,86,1236,1237,1275,1301,1294,50,41,71,2,12,0,30.3,18,41
1,18,6,2,8,-9,49,425,2704,1120,1111,1160,1365,1348,50,38,63,1,12,0,30.28,16,12
1,28,2,7,28,-6,23,296,2398,1320,1314,1337,296,282,53,47,80,11,3,0,30.35,0,1
11,5,2,2,8,51,13,410,2704,600,651,664,830,873,64,48,56,16,15,0,29.98,30,30
12,15,7,6,73,-5,14,73,86,669,664,678,742,729,56,41,57,15,16,0,30.22,32,39
12,26,4,8,59,29,12,135,651,670,699,711,745,766,55,37,51,5,3,0,29.91,39,38
