,TAXI_OUT
2167,37
16462,18
2163,22
19220,13
23510,18
25913,15
17721,15
1235,16
22684,23
11642,16
20975,22
5400,18
19238,15
12466,19
8368,27
23297,17
20080,41
5598,22
7938,22
6224,14
27363,11
15292,20
2007,20
24486,16
16133,32
4570,35
12532,36
25777,38
11472,13
14318,19
21361,21
22860,15
2784,19
18396,25
17060,21
18214,26
26093,14
8573,20
27344,31
16033,33
15486,12
24541,14
10279,26
12501,15
7074,21
18296,15
14322,16
13457,28
7766,16
28411,31
19023,18
827,18
3671,25
3155,24
12661,18
3118,16
25008,13
22585,16
2960,15
9227,14
19688,20
456,13
2811,28
26757,24
25301,22
14558,29
7030,13
20039,19
9905,28
22272,22
14769,16
5355,16
8755,12
23878,22
22234,26
25318,29
12278,18
8497,26
16499,11
23670,40
20834,20
18443,21
4339,17
11598,18
18561,25
14362,21
6082,19
2594,23
21153,17
25651,19
13446,16
21659,32
24917,14
24088,18
28328,23
18158,10
14216,17
2509,19
12649,21
18424,19
23680,16
24865,12
13370,29
5832,14
25611,19
27439,15
16471,25
22001,34
14695,19
9422,19
27293,18
14026,20
12226,20
14878,40
18682,25
26741,30
18354,23
20995,15
6727,12
18861,21
8758,22
22367,36
23272,20
6729,18
22780,13
4829,31
1451,11
2823,19
15856,18
22429,15
21887,14
19980,21
18318,17
27834,18
2138,25
6245,14
6489,24
25934,17
1612,15
23861,34
11252,18
28338,17
14069,12
18271,32
2018,26
18029,14
26007,17
22789,17
25095,24
18387,27
11689,26
1783,18
12423,18
12905,19
13968,30
2434,14
22368,41
11348,14
14751,22
8918,17
19361,14
949,15
16724,15
25134,37
16323,21
28361,19
11826,23
25140,29
18343,21
26519,21
17492,27
1776,15
4359,21
19530,7
9875,18
27434,18
25506,27
4109,19
7418,19
17231,16
16585,19
10805,31
8154,14
4758,16
1337,16
319,28
11112,18
12764,19
26713,40
28245,15
3681,17
21619,14
20835,13
28580,21
13581,17
12435,19
13957,26
16803,23
1980,30
14330,21
14774,16
11509,10
18563,21
12283,12
3539,24
25308,11
