MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_DELAY,TAXI_OUT,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,WHEELS_OFF_M,CRS_ARR_M,Pred_Wheels_On,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr
1,14,2,UA,OGG,-9,12,285,2338,840,831,843,1245,1228,50,39,66,W,9,0,30.19,Fair,30,41
1,1,3,UA,EWR,4,17,385,2565,840,844,861,1045,1041,56,53,90,W,17,0,30.08,Cloudy,17,27
12,26,4,OO,ONT,-9,17,99,363,360,351,368,459,442,47,35,63,SE,5,0,29.91,Mostly Cloudy,30,23
12,25,3,WN,SAN,15,12,95,447,1040,1055,1067,1135,1142,54,43,66,NE,24,0,29.7,Cloudy / Windy,24,37
11,12,2,OO,MSN,-2,12,288,1772,925,923,935,1093,1083,58,46,65,W,12,0,29.98,Partly Cloudy,24,36
11,30,6,WN,ONT,2,6,85,363,460,462,468,545,539,48,40,74,SE,12,0,29.97,Cloudy,50,30
11,12,2,AS,LAS,-8,11,100,414,760,752,763,860,844,67,52,59,N,3,0,30.0,Mostly Cloudy,30,29
12,29,7,UA,IAD,-5,11,371,2419,390,385,396,581,568,56,48,75,WSW,8,0,30.15,Cloudy,34,53
11,19,2,UA,IAD,-3,38,348,2419,495,492,530,663,652,61,50,67,W,26,33,29.79,Fair / Windy,42,23
11,27,3,UA,KOA,-5,11,303,2367,805,800,811,1228,1215,44,37,76,S,3,0,29.53,Fair,26,38
12,25,3,DL,ATL,-2,10,331,2139,999,997,1007,1150,1140,54,43,66,NE,24,0,29.7,Cloudy / Windy,24,37
1,20,1,UA,LIH,109,10,307,2447,863,972,982,1290,1391,52,45,77,SSE,8,0,30.06,Mostly Cloudy,23,18
12,8,7,OO,ACV,36,7,75,250,698,734,741,773,801,59,52,78,NNW,5,0,30.0,Mostly Cloudy,42,26
11,8,5,UA,LAX,2,24,102,337,645,647,671,747,741,61,51,70,NW,14,0,30.15,Haze,37,41
12,21,6,OO,TUS,41,12,152,751,498,539,551,590,623,56,45,67,N,3,0,30.0,Cloudy,41,26
12,11,3,DL,MSP,34,9,259,1589,706,740,749,845,871,58,52,81,NNE,3,0,30.17,Cloudy,32,31
11,21,4,OO,SLC,-2,22,146,599,393,391,413,479,469,53,43,69,CALM,0,0,29.83,Fair,26,24
12,5,4,OO,XNA,-5,14,270,1550,435,430,444,585,572,55,50,83,E,6,0,30.08,Cloudy,35,49
11,6,3,OO,PAE,-11,9,129,710,733,722,731,862,843,59,48,67,WNW,20,0,29.96,Fair,29,30
12,28,6,HA,HNL,8,17,310,2398,1330,1338,1355,320,320,44,40,85,NNW,3,0,30.13,Fair,11,2
12,31,2,OO,RDM,-18,12,111,462,1150,1132,1144,1261,1235,53,47,80,WNW,10,0,30.13,Mostly Cloudy,19,36
1,28,2,AS,EWR,6,10,405,2565,435,441,451,660,658,58,52,81,S,9,0,30.34,Cloudy,42,16
12,19,4,AS,PDX,34,26,112,550,810,844,870,922,948,56,51,84,ENE,3,0,30.21,Mostly Cloudy,26,31
1,23,4,WN,LAX,-7,10,95,337,640,633,643,735,720,55,49,80,NE,3,0,30.17,Mostly Cloudy,41,36
11,27,3,OO,MCI,-3,13,260,1499,375,372,385,515,504,47,41,80,S,9,0,29.55,Cloudy,49,31
1,16,4,OO,SBA,270,14,82,262,831,1101,1115,913,1175,48,41,77,S,7,0,29.95,Mostly Cloudy,21,31
12,24,2,AS,SEA,-1,22,140,679,595,594,616,735,726,53,39,59,W,12,0,29.9,Cloudy,34,36
12,10,2,OO,BUR,82,18,89,326,682,764,782,771,845,58,49,72,NNE,5,0,30.18,Mostly Cloudy,29,31
12,22,7,UA,ORD,5,25,277,1846,955,960,985,1112,1109,52,43,71,W,8,0,29.84,Partly Cloudy,29,35
11,14,4,UA,IAH,2,28,259,1635,1005,1007,1035,1144,1138,58,50,75,WSW,8,0,30.12,Mostly Cloudy,22,39
1,20,1,WN,LAS,49,10,95,414,1285,1334,1344,1380,1421,52,45,77,SSE,8,0,30.06,Mostly Cloudy,23,18
12,18,3,OO,OTH,64,4,94,412,855,919,923,949,1005,55,50,83,S,6,0,30.0,Mostly Cloudy,42,29
1,2,4,UA,LAS,-1,13,105,414,927,926,939,1032,1023,56,48,75,W,9,0,30.11,Mostly Cloudy,21,29
1,31,5,UA,BOS,-4,16,414,2704,655,651,667,889,877,62,52,70,CALM,0,0,30.27,Mostly Cloudy,31,30
1,23,4,OO,PAE,-13,8,126,710,1154,1141,1149,1280,1259,53,49,86,CALM,0,0,30.13,Cloudy,32,41
1,12,7,UA,LAS,-5,12,106,414,644,639,651,750,737,55,42,62,WNW,14,0,30.19,Mostly Cloudy,37,35
1,13,1,AA,PHX,-1,19,135,651,681,680,699,756,747,55,43,64,W,13,0,30.2,Mostly Cloudy,39,37
12,28,6,UA,EWR,17,26,378,2565,900,917,943,1098,1107,53,46,77,WNW,14,0,30.11,Mostly Cloudy,24,32
1,30,4,AA,JFK,-10,18,408,2586,629,619,637,857,839,59,53,81,WNW,9,0,30.23,Partly Cloudy,32,30
12,6,5,UA,IAH,-6,65,256,1635,449,443,508,585,571,59,51,75,E,15,0,30.01,Partly Cloudy,36,49
11,1,5,UA,OGG,-9,8,300,2338,881,872,880,1361,1344,57,32,39,CALM,0,0,30.11,Fair,33,26
1,5,7,AA,ORD,-2,10,292,1846,882,880,890,1054,1044,54,46,75,W,13,0,30.52,Fair,19,29
11,6,3,WN,DEN,3,25,165,967,1325,1328,1353,1430,1425,50,48,93,WNW,10,0,30.02,Fair,27,19
12,7,6,UA,BOS,92,24,400,2704,1082,1174,1198,1302,1386,60,53,78,SSW,9,21,29.94,Cloudy,21,12
1,18,6,UA,LAS,13,18,106,414,714,727,745,820,825,54,41,62,E,3,0,30.28,Mostly Cloudy,28,24
12,28,6,UA,DEN,63,39,169,967,577,640,679,686,741,53,43,69,NNE,3,0,30.12,Fair,36,33
1,30,4,UA,EWR,-14,29,404,2565,1200,1186,1215,1424,1402,52,49,89,W,5,0,30.25,Mostly Cloudy,23,18
12,23,1,DL,MSP,-3,29,270,1589,535,532,561,685,674,51,42,71,ENE,3,0,29.89,Mostly Cloudy,35,36
1,17,5,UA,PHX,-2,9,127,651,1172,1170,1179,1239,1229,50,42,74,ENE,14,0,30.29,Cloudy,31,42
11,4,1,OO,ABQ,-7,20,175,896,360,353,373,475,460,54,48,80,W,3,0,30.0,Fair,25,26
12,12,4,UA,MSY,40,10,287,1911,927,967,977,1094,1126,59,56,90,E,5,0,30.27,Mostly Cloudy,23,37
11,10,7,WN,PHX,4,15,135,651,750,754,769,825,821,61,52,72,NE,3,0,29.99,Fair,38,29
12,12,4,OO,SAT,-5,14,256,1482,435,430,444,571,558,61,57,87,ESE,6,0,30.29,Cloudy,36,50
11,23,6,OO,ONT,-9,13,92,363,1150,1141,1154,1242,1225,59,44,58,WNW,3,0,30.16,Fair,20,35
12,19,4,DL,SEA,44,43,130,679,450,494,537,580,616,55,51,86,ENE,5,0,30.22,Mostly Cloudy,43,28
1,14,2,AS,SEA,36,25,136,679,1190,1226,1251,1326,1354,49,40,71,W,7,0,30.19,Fair,23,16
11,17,7,AS,SEA,-1,41,142,679,480,479,520,622,613,63,53,70,NNE,3,0,30.1,Partly Cloudy,45,22
12,12,4,UA,DEN,169,21,162,967,1035,1204,1225,1137,1298,58,56,93,NW,6,0,30.25,Cloudy,19,44
11,25,1,UA,PSP,-9,10,95,421,1120,1111,1121,1215,1198,53,40,61,W,14,0,30.08,Fair,29,33
1,7,2,B6,BOS,-5,17,428,2704,1085,1080,1097,1333,1320,55,49,80,W,7,0,30.14,Mostly Cloudy,23,17
1,31,5,UA,PSP,164,36,102,421,655,819,855,757,913,64,50,60,N,8,0,30.26,Mostly Cloudy,26,27
1,24,5,UA,LIH,-4,11,307,2447,863,859,870,1290,1278,55,53,93,WNW,9,0,30.14,Cloudy,19,42
12,10,2,UA,EWR,-1,17,370,2565,900,899,916,1090,1081,57,48,72,W,15,0,30.21,Cloudy,22,36
1,9,4,DL,DTW,-7,13,339,2079,510,503,516,669,654,55,47,74,N,14,0,30.03,Mostly Cloudy,44,20
11,21,4,UA,AUS,-11,16,235,1504,1112,1101,1117,1227,1208,56,46,69,SW,6,0,29.98,Fair,26,39
11,13,3,OO,FAT,-7,10,64,158,1075,1068,1078,1139,1124,56,49,77,WNW,8,0,29.97,Cloudy,23,38
12,5,4,DL,JFK,4,27,416,2586,580,584,611,816,812,56,51,84,CALM,0,0,30.03,Cloudy,42,25
1,16,4,F9,DEN,213,14,190,967,441,654,668,571,776,48,43,83,ESE,13,0,29.8,Cloudy,41,38
11,11,1,UA,LAX,12,17,102,337,735,747,764,837,841,67,55,66,NNE,5,0,30.0,Mostly Cloudy,30,31
1,10,5,AS,HNL,-13,23,319,2398,1025,1012,1035,24,3,51,43,74,VAR,3,0,30.28,Mostly Cloudy,5,10
1,2,4,AS,BOS,71,16,419,2704,490,561,577,729,792,57,47,69,NNE,3,0,30.09,Mostly Cloudy,39,27
12,19,4,AS,SEA,26,15,137,679,1285,1311,1326,1422,1440,53,49,86,S,3,0,30.24,Fair,30,23
11,21,4,UA,EWR,-3,22,370,2565,900,897,919,1090,1079,56,47,72,SSW,8,0,29.93,Fair,24,23
11,10,7,OO,PHX,-3,14,133,651,365,362,376,438,427,52,49,89,SSW,5,0,30.09,Fog,25,24
